name,age,gender,course,year,attendance,gpa_sem1,gpa_sem2,gpa_sem3,gpa_sem4,gpa_sem5,backlog_count,event_participation,dropout_thought,avg_gpa,event_score,has_backlog,gpa_trend,risk_probability,predicted_risk_probability
Saanvi Bhosale,18,1,3,2,73.85,4.42,7.62,7.0,5.61,6.95,1.0,occasionally,0,6.319999999999999,2,1,2.5300000000000002,0.47010535162229494,0.4641288309620811
Ishita Pandey,20,0,3,0,87.77,6.26,6.995,7.0,6.34,7.01,1.0,rarely,0,6.720999999999999,1,1,0.75,0.41932046702884423,0.4190537668520323
Sonal Dalvi,22,0,0,2,42.12,7.48,6.06,7.0,7.78,5.6,0.0,rarely,0,6.784000000000001,1,0,-1.8800000000000008,0.5422457003931926,0.5393884641772608
Hitesh Yadav,22,0,3,0,78.9,5.45,5.13,7.25,6.58,4.47,0.0,rarely,0,5.775999999999999,1,0,-0.9800000000000004,0.4976738601914939,0.4899371992620075
Ananya Chavan,21,1,2,1,100.0,9.85,8.22,6.47,8.9,6.53,0.0,occasionally,0,7.994,2,0,-3.3199999999999994,0.07635741513341529,0.13884352397203634
Nisha Tiwari,18,0,2,0,77.18,9.15,6.91,7.68,8.0,4.9,1.0,regularly,0,7.328,3,1,-4.25,0.27406429150283623,0.2784525348711218
Pallavi Rao,19,0,4,2,63.55,4.83,6.995,7.06,7.31,5.91,0.0,never,1,6.420999999999999,0,0,1.08,0.5493741933547439,0.5470582052180855
Vihaan Pandey,21,1,3,0,72.58,8.06,4.98,7.0,4.43,9.4,0.0,occasionally,0,6.773999999999999,2,0,1.3399999999999999,0.3462796770417505,0.3455087744803143
Nandini Yadav,21,1,2,0,72.16,6.86,7.14,6.29,7.71,7.01,2.0,occasionally,0,7.002,2,1,0.14999999999999947,0.47087072665606144,0.4715274102741148
Simran Chopra,18,1,1,0,51.31,6.71,7.99,8.07,7.11,5.94,2.0,occasionally,0,7.164,2,1,-0.7699999999999996,0.5452921931746556,0.5469084689350687
Khushi Lad,21,1,2,0,82.64,8.5,8.16,7.1,6.42,7.48,0.0,regularly,0,7.531999999999999,3,0,-1.0199999999999996,0.14995347720382987,0.1523583134352977
Ritika Ghosh,21,0,4,0,62.16,8.81,7.48,6.58,7.99,8.54,0.0,never,1,7.88,0,0,-0.27000000000000135,0.3804664285499894,0.35223439585611377
Vaishnavi Kamble,21,1,4,0,72.58,8.17,8.66,8.21,5.04,7.34,0.0,occasionally,0,7.484,2,0,-0.8300000000000001,0.26103790857520176,0.26228109547162204
Saanvi Naidu,19,0,3,1,97.44,7.22,10.0,7.0,7.06,9.14,1.0,rarely,0,8.084,1,1,1.9200000000000008,0.21214395053576252,0.2373383780332693
Bhavesh Solanki,21,0,3,0,65.55,6.78,6.6,6.44,6.52,6.49,1.0,rarely,0,6.566,1,1,-0.29000000000000004,0.537968604616262,0.535549016895669
Meera Inamdar,22,0,3,0,64.06,8.68,6.995,7.74,6.24,7.01,1.0,never,1,7.333,0,1,-1.67,0.5126211843803463,0.5078346611278685
Rudra Rane,19,1,2,0,88.59,6.68,5.67,10.0,7.07,7.02,0.0,never,0,7.287999999999999,0,0,0.33999999999999986,0.3325479484947624,0.32832459252913987
Chirag Chaudhary,20,1,2,1,68.28,4.45,6.995,8.76,7.36,8.4,0.0,regularly,0,7.193,3,0,3.95,0.25530509949875435,0.2561438596812164
Bhavesh Bose,21,0,3,2,100.0,6.32,3.0,6.57,7.29,6.32,1.0,rarely,0,5.9,1,1,0.0,0.46282678512471104,0.4943507094666853
Sonal Ansari,20,0,1,2,73.04,7.17,8.17,8.03,7.75,7.02,3.0,occasionally,0,7.628,2,1,-0.15000000000000036,0.4667887264759731,0.470915463969394
Isha More,19,1,2,1,79.89,5.5,8.11,6.78,6.37,8.26,0.0,occasionally,0,7.0040000000000004,2,0,2.76,0.2857550199597802,0.2857138642142935
Vidhi Chopra,21,0,1,1,48.7,6.43,8.22,6.25,8.5,7.01,1.0,never,1,7.281999999999999,0,1,0.5800000000000001,0.5878980700543267,0.5603677061319189
Akash Kapoor,20,0,4,2,76.71,7.18,6.995,6.93,7.37,4.95,1.0,regularly,0,6.6850000000000005,3,1,-2.2299999999999995,0.353378155296095,0.35611070195934
Dhruv Patankar,21,0,3,0,72.58,8.32,6.995,7.14,8.57,6.99,1.0,rarely,0,7.603,1,1,-1.33,0.38181709037428335,0.38788699328682946
Komal Inamdar,22,1,3,0,72.58,7.57,7.31,8.18,9.0,8.22,0.0,occasionally,0,8.056000000000001,2,0,0.6500000000000004,0.19236425848665825,0.20834551864140663
Kavya More,22,0,4,0,48.68,6.85,5.52,7.17,7.28,7.01,1.0,regularly,0,6.766,3,1,0.16000000000000014,0.4698502266110394,0.4736478803285394
Komal Shirke,19,1,3,1,70.38,6.21,6.995,8.21,5.96,7.05,3.0,occasionally,0,6.885,2,1,0.8399999999999999,0.56796830446919,0.5742780720892003
Saanvi Joshi,18,0,1,2,95.52,7.32,7.88,6.66,7.15,6.63,2.0,never,0,7.128,0,1,-0.6900000000000004,0.4706306089984092,0.46704177379534895
Sara Prajapati,19,0,1,1,64.01,6.57,6.02,7.74,6.76,5.84,2.0,occasionally,0,6.5859999999999985,2,1,-0.7300000000000004,0.5575081790077139,0.5595770169069293
Sagar Kapoor,18,0,4,1,34.31,5.47,8.7,5.97,10.0,7.01,1.0,never,1,7.43,0,1,1.54,0.6349161088933577,0.5803381366294774
Kunal Menon,18,0,4,1,100.0,7.58,7.17,9.06,8.21,6.76,1.0,rarely,0,7.756,1,1,-0.8200000000000003,0.2399975988234234,0.28483041513519664
Ritika Bose,20,1,4,0,57.2,6.97,6.33,5.07,7.68,6.03,1.0,occasionally,0,6.4159999999999995,2,1,-0.9399999999999995,0.5335414353032986,0.5281230265045219
Krupa Jain,18,0,1,0,78.51,5.86,6.67,7.0,5.16,8.0,2.0,occasionally,0,6.537999999999999,2,1,2.1399999999999997,0.4979890146171624,0.5005251958232959
Darshan Gadkari,21,1,0,1,67.85,7.72,6.85,7.0,7.56,7.61,1.0,never,0,7.348000000000001,0,1,-0.10999999999999943,0.49375694090104144,0.4961970152939902
Meera Yadav,18,0,1,1,82.04,6.55,6.995,7.0,8.26,7.01,0.0,occasionally,0,7.162999999999999,2,0,0.45999999999999996,0.2569859231023201,0.2584885512866552
Arjun Varghese,22,0,1,1,100.0,8.13,5.99,7.0,6.56,7.7,0.0,regularly,0,7.0760000000000005,3,0,-0.4300000000000006,0.12654200558273537,0.13608410623541634
Arjun George,18,0,4,1,72.58,5.98,7.13,4.9,5.49,8.06,1.0,occasionally,0,6.312,2,1,2.08,0.476783623975748,0.4663254484455209
Bhakti Shah,21,1,3,2,75.65,8.24,7.18,8.04,7.65,9.42,1.0,never,0,8.106,0,1,1.1799999999999997,0.3676351412191974,0.37140943073545857
Amit Inamdar,20,1,3,1,83.2,7.49,7.86,7.6,8.03,8.21,1.0,never,0,7.838000000000001,0,1,0.7200000000000006,0.3658192514332021,0.36981866927875506
Bhavesh Chatterjee,20,0,2,1,74.38,7.67,6.35,7.77,8.88,7.41,0.0,never,0,7.616,0,0,-0.2599999999999998,0.3571450010505147,0.3502706601049269
Kavya Rane,19,0,3,1,46.61,7.77,9.6,6.63,7.26,7.3,1.0,regularly,0,7.711999999999999,3,1,-0.46999999999999975,0.36559414112915345,0.36868273167134513
Atharva Bansal,20,1,3,2,100.0,7.44,6.995,6.84,4.56,7.88,1.0,occasionally,0,6.742999999999999,2,1,0.4399999999999995,0.3015877780112255,0.31024261872148035
Dev Nikam,22,0,3,2,76.33,8.4,6.35,8.05,7.56,7.69,0.0,occasionally,0,7.609999999999999,2,0,-0.71,0.22902722333943631,0.22843883795017342
Meera Mukherjee,22,0,2,0,72.58,5.53,6.995,8.08,6.75,6.15,0.0,regularly,0,6.7010000000000005,3,0,0.6200000000000001,0.295014557132995,0.2915041645768589
Mayank Lad,18,1,0,0,72.58,9.06,10.0,5.01,6.5,6.42,0.0,rarely,0,7.398000000000001,1,0,-2.6400000000000006,0.3313923822673108,0.334805676191463
Aryan Verma,19,1,3,2,57.2,7.77,8.59,7.24,7.85,7.01,0.0,occasionally,0,7.692,2,0,-0.7599999999999998,0.30530960170483523,0.2928718847409525
Atharva Mathew,18,0,0,0,53.61,7.73,5.22,7.38,7.53,5.81,0.0,regularly,0,6.734,3,0,-1.9200000000000008,0.37645946513791756,0.3815308681026698
Sneha Fernandes,22,0,2,0,100.0,6.86,5.59,5.88,8.94,8.46,4.0,rarely,0,7.145999999999999,1,1,1.6000000000000005,0.5383437884563437,0.5181189296987114
Rudra Pandey,21,0,3,1,100.0,6.97,7.63,7.0,5.95,7.05,0.0,rarely,0,6.92,1,0,0.08000000000000007,0.2653300117057358,0.28167114558492995
Sneha Khan,19,1,1,0,70.78,8.19,7.75,6.41,6.47,7.33,1.0,rarely,0,7.2299999999999995,1,1,-0.8599999999999994,0.4347030044721914,0.43354981683876503
Vivaan Wagh,19,0,1,0,89.25,6.88,8.8,9.02,6.45,9.08,1.0,never,0,8.046,0,1,2.2,0.31360866824744127,0.30633664749213435
Dev Wagh,20,1,1,1,72.58,6.31,6.97,9.57,9.07,7.52,0.0,occasionally,0,7.888,2,0,1.21,0.21253414172944735,0.2191323936995525
Nandini Chaudhary,20,0,2,1,83.46,6.51,5.31,7.58,6.5,8.36,2.0,rarely,0,6.851999999999999,1,1,1.8499999999999996,0.4980340366779723,0.49775777588849585
Rohan Chowdhury,21,1,0,0,51.57,9.4,6.87,9.14,5.04,6.31,2.0,regularly,0,7.351999999999999,3,1,-3.0900000000000007,0.4615211453612271,0.4841814458770093
Pooja Kamble,18,0,1,2,95.7,7.48,6.995,7.39,6.65,5.02,2.0,occasionally,0,6.706999999999999,2,1,-2.460000000000001,0.40030615001350667,0.39921082880413566
Vihaan Reddy,18,0,1,0,64.71,7.33,5.41,8.29,8.26,6.65,0.0,regularly,0,7.188,3,0,-0.6799999999999997,0.2719782693519825,0.27201168411901117
Saanvi Jadhav,21,0,4,1,98.06,6.94,6.995,7.09,5.46,8.2,1.0,rarely,0,6.937,1,1,1.259999999999999,0.3470600594291202,0.3566228338350407
Pooja Gokhale,20,0,2,1,91.34,6.61,6.34,7.06,6.17,6.84,1.0,rarely,0,6.603999999999999,1,1,0.22999999999999954,0.41729447429240335,0.41806772251237656
Meera Patankar,18,0,4,1,74.54,9.4,8.16,7.37,6.46,7.08,3.0,occasionally,0,7.694000000000001,2,1,-2.3200000000000003,0.45211153465197934,0.45090078544550505
Bhavesh Kapoor,18,1,1,0,72.58,6.06,8.08,6.83,6.56,7.9,1.0,regularly,0,7.086,3,1,1.8400000000000007,0.32382867605126503,0.32135482346740535
Dhruv Desai,18,0,3,0,70.45,6.96,5.57,7.37,8.52,7.84,1.0,never,0,7.252000000000001,0,1,0.8799999999999999,0.49357685265780216,0.489325077891898
Mansi D'Souza,21,1,4,0,77.56,8.66,7.68,7.71,8.02,7.91,0.0,rarely,0,7.996,1,0,-0.75,0.2371762163460094,0.24309056420661487
Bhakti Solanki,20,1,0,1,56.74,6.42,5.32,7.0,7.47,5.67,1.0,occasionally,0,6.376,2,1,-0.75,0.5404148032535943,0.5328227006674301
Rudra Chowdhury,19,0,2,2,86.54,8.82,6.995,6.28,5.1,7.01,1.0,never,0,6.840999999999999,0,1,-1.8100000000000005,0.47048053546237656,0.46872227633168373
Ishaan Mhatre,22,1,0,2,66.28,5.93,6.32,7.0,6.83,7.96,0.0,regularly,0,6.808,3,0,2.0300000000000002,0.31053216075877177,0.3141856605110842
Parth Pillai,19,1,0,0,68.06,5.7,7.21,7.32,5.06,7.45,0.0,occasionally,0,6.548,2,0,1.75,0.3937629438424828,0.3854807811076816
Laksh Mishra,19,0,0,1,81.86,7.7,7.82,6.71,5.65,6.46,2.0,rarely,0,6.868,1,1,-1.2400000000000002,0.5033166251463217,0.5040609772467526
Yamini Chatterjee,22,0,2,2,93.37,8.95,5.16,7.0,8.75,4.98,2.0,never,0,6.968000000000001,0,1,-3.969999999999999,0.49951976468469533,0.4949973769947049
Harsh Yadav,22,1,2,2,99.59,8.17,8.32,7.0,6.36,5.05,0.0,occasionally,0,6.9799999999999995,2,0,-3.12,0.19994297205630754,0.20314247843270894
Darshan Joshi,22,1,4,1,58.49,6.15,6.3,7.0,6.09,7.04,1.0,occasionally,0,6.516,2,1,0.8899999999999997,0.5157277065762224,0.5068516413991362
Laksh Nair,19,1,2,2,76.63,5.69,7.88,5.37,6.77,6.83,0.0,rarely,0,6.508,1,0,1.1399999999999997,0.42001080529459434,0.42279364751186466
Chirag Bhatt,20,0,2,2,71.09,9.07,7.12,7.0,5.81,7.76,1.0,never,0,7.351999999999999,0,1,-1.3100000000000005,0.4786895578833628,0.47533643650617063
Riya Chaudhary,18,0,0,1,77.33,9.96,6.65,6.51,5.61,5.15,0.0,regularly,0,6.775999999999999,3,0,-4.8100000000000005,0.2646246660863824,0.2671732397445803
Vidhi Saxena,20,1,2,2,50.84,5.68,4.42,7.47,9.99,6.99,2.0,regularly,0,6.910000000000001,3,1,1.3100000000000005,0.5178737581414892,0.5192381496230251
Sagar Menon,18,0,2,0,76.23,6.88,8.1,6.65,7.32,7.39,1.0,never,0,7.268000000000001,0,1,0.5099999999999998,0.4656331602485217,0.4637587235616603
Pallavi Agarwal,18,1,4,1,95.85,7.67,7.01,5.43,5.72,6.63,0.0,never,0,6.492,0,0,-1.04,0.3954287600924452,0.40311612768289234
Mehul Mittal,21,0,0,0,75.81,7.08,4.63,5.87,6.83,5.55,2.0,never,1,5.992000000000001,0,1,-1.5300000000000002,0.6957559204009964,0.690428765018435
Yash Jain,20,0,2,0,55.03,7.33,6.91,5.22,7.78,8.65,0.0,never,0,7.178,0,0,1.3200000000000003,0.4968484557433142,0.49065399418667915
Rekha Gadkari,22,0,1,0,71.09,6.56,6.15,7.36,6.25,7.02,3.0,occasionally,0,6.668000000000001,2,1,0.45999999999999996,0.5908245040069633,0.5915437770946206
Amit Pandey,21,0,1,0,72.58,7.51,6.995,7.81,9.06,5.73,0.0,occasionally,0,7.421000000000001,2,0,-1.7799999999999994,0.2686016147912475,0.27075151931794805
Riya Banerjee,22,1,2,1,100.0,7.5,6.88,6.32,6.53,8.64,2.0,never,0,7.174000000000001,0,1,1.1400000000000006,0.4449380196296183,0.457159481184641
Karan Agarwal,22,1,4,1,60.09,6.96,4.65,9.47,5.57,7.01,0.0,regularly,0,6.731999999999999,3,0,0.04999999999999982,0.3475252873908215,0.3500603914941357
Tanish Patankar,18,1,3,1,100.0,8.21,7.39,7.59,6.86,7.56,1.0,regularly,0,7.522,3,1,-0.6500000000000012,0.14803253594261176,0.1517385099894887
Palak Salunkhe,18,0,0,2,73.67,8.11,8.69,8.46,7.33,7.01,1.0,rarely,0,7.919999999999999,1,1,-1.0999999999999996,0.33885103700813407,0.35302513776256167
Nandini Varghese,21,0,4,1,75.94,9.42,7.16,6.56,7.22,7.01,0.0,occasionally,0,7.473999999999999,2,0,-2.41,0.2471110844313714,0.2501072662095131
Pranav Dalvi,20,1,3,1,59.3,7.64,8.42,7.0,8.2,6.09,1.0,never,1,7.469999999999999,0,1,-1.5499999999999998,0.5176036257766307,0.5094084169531372
Pooja Fernandes,21,0,3,1,71.24,7.77,8.47,6.3,7.05,8.75,3.0,rarely,0,7.668000000000001,1,1,0.9800000000000004,0.5301197586817539,0.5387333817438966
Nandini Sethi,18,0,0,1,59.33,4.64,9.47,5.68,6.73,6.67,2.0,rarely,0,6.638,1,1,2.0300000000000002,0.6323648587808026,0.6357023887138539
Ishita Jain,18,0,1,1,78.99,7.36,5.01,7.0,7.73,5.45,0.0,occasionally,0,6.510000000000001,2,0,-1.9100000000000001,0.3491160668727676,0.3539354147604001
Aniket Prajapati,20,0,4,1,79.42,4.94,6.995,7.38,6.28,7.33,2.0,regularly,0,6.585000000000001,3,1,2.3899999999999997,0.4282198277155805,0.43488643004229083
Divya Desai,22,0,1,1,72.58,7.29,10.0,7.0,4.89,7.9,2.0,occasionally,0,7.4159999999999995,2,1,0.6100000000000003,0.41927544496803437,0.4333842807525602
Ishaan Menon,19,1,0,2,72.58,7.3,7.65,7.41,5.97,6.25,2.0,rarely,0,6.9159999999999995,1,1,-1.0499999999999998,0.5393342737941592,0.5378918814323213
Laksh Kadam,20,1,0,1,83.76,6.38,6.995,7.33,8.75,5.26,0.0,regularly,0,6.943,3,0,-1.12,0.21562565657172011,0.2127702699437714
Kavya Dalvi,20,1,3,1,100.0,6.52,7.27,8.12,5.3,7.01,1.0,rarely,0,6.843999999999999,1,1,0.4900000000000002,0.3494912507128493,0.3607834037453609
Jinal Lokhande,18,0,3,1,72.58,5.27,5.01,7.03,8.29,6.35,0.0,never,0,6.389999999999999,0,0,1.08,0.5124410961371073,0.5034253642622802
Ira Chaudhary,21,0,0,0,100.0,8.45,8.23,7.71,7.93,6.34,1.0,regularly,0,7.731999999999999,3,1,-2.1099999999999994,0.12282018188912566,0.1339583793798078
Nikhil Rawat,19,0,4,2,72.58,8.14,7.82,3.67,7.96,6.48,1.0,regularly,0,6.814000000000002,3,1,-1.6600000000000001,0.35648467749197077,0.3556864829553835
Simran Thomas,21,1,1,0,86.6,8.06,5.95,7.0,6.92,7.01,0.0,rarely,0,6.9879999999999995,1,0,-1.0500000000000007,0.3174955728306871,0.3240030222586103
Shreya Rao,19,0,3,1,88.14,5.5,7.42,5.31,5.59,6.37,1.0,rarely,0,6.038,1,1,0.8700000000000001,0.49965483086712487,0.5140570474771115
Reyansh Pandey,22,1,4,2,66.25,5.44,5.32,3.63,7.83,6.88,2.0,never,1,5.819999999999999,0,1,1.4399999999999995,0.7594471290932557,0.7320667622479937
Diya Trivedi,21,1,3,2,60.01,7.42,7.15,5.83,5.93,7.43,0.0,never,1,6.752,0,0,0.009999999999999787,0.5255725305399646,0.5224192487611514
Kavya Ansari,19,1,4,1,67.8,7.86,7.21,6.8,7.15,6.41,1.0,rarely,0,7.086000000000001,1,1,-1.4500000000000002,0.46540804994447266,0.46178412799163304
Isha Inamdar,19,0,0,1,66.64,5.72,6.995,6.84,6.01,6.8,2.0,never,0,6.472999999999999,0,1,1.08,0.6792928534982142,0.6700662891212544
Aditya Mukherjee,20,0,4,1,54.05,7.21,6.56,6.01,7.1,7.01,0.0,never,0,6.7780000000000005,0,0,-0.20000000000000018,0.5492841492331241,0.5370731041765304
Om Khan,19,0,0,1,58.14,7.78,8.96,6.69,8.13,6.17,0.0,rarely,0,7.546000000000001,1,0,-1.6100000000000003,0.3786355314103909,0.3936723681589776
Simran Tiwari,20,0,2,0,74.67,6.25,7.72,6.15,6.39,8.39,1.0,regularly,0,6.9799999999999995,3,1,2.1400000000000006,0.3271453011975868,0.33336644936666704
Divya Inamdar,22,1,0,1,72.58,7.55,8.9,7.46,9.19,9.42,0.0,occasionally,0,8.504000000000001,2,0,1.87,0.13857790317255428,0.15666798138374924
Myra Naidu,19,0,4,2,72.58,5.83,6.99,7.0,7.61,7.01,1.0,regularly,0,6.888,3,1,1.1799999999999997,0.3476003241588378,0.34769687201424787
Krishna Patankar,19,0,3,2,71.14,6.12,6.03,8.12,8.26,5.34,0.0,rarely,0,6.774000000000001,1,0,-0.7800000000000002,0.41279226821142345,0.4139908861278986
Reyansh Sheikh,21,0,2,2,89.35,8.18,7.79,7.0,6.49,6.68,1.0,never,0,7.228,0,1,-1.5,0.4113665696191134,0.4151327687983291
Krishna Shetty,18,1,0,1,73.59,6.61,7.94,7.68,8.2,6.25,2.0,rarely,0,7.336,1,1,-0.3600000000000003,0.4843623375453972,0.4894417689911633
Pranav Das,18,0,2,2,92.14,7.32,6.95,8.38,8.72,5.57,0.0,rarely,0,7.388,1,0,-1.75,0.24452981961160963,0.24908233093643736
Saloni Chitale,18,1,4,0,67.47,7.67,7.35,6.91,5.49,5.79,1.0,never,0,6.642,0,1,-1.88,0.5802293123630579,0.5783366369522205
Ananya Pandey,18,0,3,1,85.98,6.89,4.31,7.0,8.19,7.65,1.0,regularly,0,6.808,3,1,0.7600000000000007,0.2968754689798001,0.2951382144485743
Harsh Shaikh,22,0,0,1,87.86,6.8,6.06,7.73,5.63,9.42,2.0,rarely,0,7.128,1,1,2.62,0.44508809316565107,0.4459352945415883
Mansi Bhat,18,1,1,0,85.0,7.45,6.05,8.43,5.65,6.52,1.0,rarely,0,6.8199999999999985,1,1,-0.9300000000000006,0.4199057538193716,0.42022704963939306
Jay Bansal,21,0,0,1,70.77,6.73,6.58,6.98,6.64,7.96,0.0,occasionally,0,6.978,2,0,1.2299999999999995,0.32993666896779417,0.3307684663416709
